"","genes","TS","SD"
"529","SCG2",0.932270826148103,1.28390811335844
"530","ABCA2",0.929815796958143,1.50779068114517
"531","CXCL2",0.929052283175972,1.49349226120871
"532","ATP5F1C",0.926578548063294,1.05628389095579
"533","CABP7",0.925746836337744,1.43412203246483
"534","ALOX15",0.923523412839714,1.11937515206821
"535","EZR",0.923149716187993,1.25463493779832
"536","SCNN1A",0.922363506108701,1.19324004369283
"537","SLC27A4",0.921212812566811,1.0470412740722
"538","CAPRIN1",0.916020989684228,1.1800242044347
"539","HEY2",0.915767671992478,1.19337466519644
"540","SMAD3",0.914703188316627,1.08379492101749
"541","ZBTB16",0.913826822453381,1.07803439829934
"542","UGT1A10",0.912091139505447,1.64055925998416
"543","CISH",0.91071736888878,1.56144419255714
"544","IFI6",0.908796497473037,0.926974203461867
"545","MIIP",0.907854201667904,0.889752504325041
"546","B4GALT1",0.903930976205123,1.0985063360728
"547","AKT2",0.899916200480169,1.32285848609371
"548","ACSM3",0.899101373361106,1.25699296215406
"549","BCAR1",0.897993681202648,1.39226609198039
"550","SLC7A5",0.897781757373016,1.3483740448278
"551","TBX3",0.896142653277399,1.75418654993141
"552","EPHX1",0.895218666223506,1.18230741857109
"553","GATA6",0.893683866150336,1.41750956655911
"554","TLN1",0.890511067327845,1.34345046880079
"555","SLC7A8",0.889409887974449,1.22374931880975
"556","BCL11B",0.887845275811958,1.02949702439393
"557","HEY1",0.887144743440193,1.57212391413846
"558","ABCC10",0.884822394583615,1.24355798653961
"559","PDCD6",0.88466123257155,1.3566546214247
"560","LGR5",0.879689377775061,1.29902383371952
"561","SLC29A2",0.877918114852406,1.01798204605333
"562","EPHA2",0.876407313284122,1.29899218987664
"563","ITGA1",0.870021576706559,1.26162200913768
"564","ST14",0.86879894568533,1.37183257227176
"565","CXCL12",0.866817744741714,1.31141948572459
"566","CSF1",0.865182636623058,1.19738267021836
"567","KDM3A",0.864476152624078,1.40049856736841
"568","SPOCK1",0.86214081700564,1.42255760659622
"569","IL12A",0.861731758316831,1.12045436302013
"570","SLC16A3",0.861657877573833,1.26590669935945
"571","EIF2AK4",0.860272673613411,1.66168459137438
"572","SMAD2",0.859747781620052,1.49463574925449
"573","NOTCH1",0.856843009496592,1.26641849459778
"574","SERP1",0.854386327839592,1.19543787569715
"575","FERMT1",0.853752401168229,1.28417288582583
"576","CDH20",0.852274387002089,1.05544304854651
"577","ME1",0.85192630276848,1.21165938976672
"578","ALDOC",0.851908964006284,1.44108871590378
"579","PLD1",0.850627688672861,1.65801406558281
"580","ADIPOR1",0.845735383928204,1.44316147612287
"581","ARNT",0.845030619142295,1.49063105660468
"582","LPAR1",0.843541830497337,1.44069468195786
"583","ISG15",0.842534951552915,1.42598861331479
"584","PPARA",0.842518539970055,1.14904570073832
"585","ATF2",0.840328628726259,1.59984461071685
"586","CD40",0.839914490851203,1.69347232064003
"587","SMAD5",0.839546228753034,1.43522095660367
"588","GSR",0.839331494622686,1.35273999456552
"589","CYP26C1",0.83848726145926,1.35336039913565
"590","CDX2",0.836913128819122,2.22544011561675
"591","PTCH1",0.834456176971101,1.30624542677338
"592","PCSK6",0.832926727743565,1.37594820946553
"593","INMT",0.832407053889942,1.54748103007419
"594","IL13RA1",0.831478122747942,1.02313701127209
"595","ATF4",0.831462554698438,1.11358865542803
"596","MSH2",0.82969138095441,1.25866450213408
"597","PPARGC1A",0.829479929449294,1.41333241984626
"598","EGLN3",0.828191982451175,1.70198335287497
"599","ALDH4A1",0.827343674053411,1.15561205035482
"600","IL32",0.827325081298235,1.06401438890743
"601","CDK6",0.826706719381454,1.14914853578219
"602","BST2",0.826108188958762,1.49341698253073
"603","NKX2-5",0.825625760636307,1.35937841487822
"604","FABP1",0.824070497950864,1.42752570929483
"605","ENO2",0.823229749416458,1.66266242887371
"606","SMURF1",0.822564742304332,1.1173164618527
"607","CADM1",0.822168173410053,2.08891243404995
"608","GREM1",0.820881441810959,1.71806722226869
"609","HESX1",0.818900771185551,1.3073507200814
"610","SLC29A4",0.817608114473284,0.844637892178644
"611","NQO1",0.817212723163065,1.15017541044505
"612","MCOLN1",0.816940951615621,1.19719152231609
"613","ABCG2",0.810000666887135,1.47738003077946
"614","ERCC1",0.807398395047293,1.09540310977812
"615","IRF3",0.805918815385289,1.0657692619378
"616","HSPA5",0.805030531220564,1.26371848752555
"617","CYP8B1",0.801233837819699,1.17429686855821
"618","NR1D1",0.801222849297507,1.57303868132229
"619","PTK2",0.801106654846945,0.969925373748045
"620","ACHE",0.801068263957368,1.29165930965144
"621","BRCA1",0.800934405446579,1.70288467065307
"622","MET",0.799277095819587,1.35068780862489
"623","BCL10",0.796208156238195,1.13027156180491
"624","SOX4",0.79578393807557,1.26173851868668
"625","ODAM",0.794914418799467,1.24219003599489
"626","CEBPD",0.792735841274628,1.20215251699952
"627","UGT1A8",0.79126576845195,1.61632057264702
"628","MITF",0.790418699469748,1.36906716151007
"629","SOD3",0.787921449727589,0.895506064356124
"630","GSTO2",0.787845877110615,1.15809592421743
"631","PCK1",0.787736355081621,2.17500058856502
"632","MYD88",0.786918118048684,1.23437967873708
"633","LGALS3",0.786578477035252,1.19542416149002
"634","CTSA",0.786467809210653,1.14047132438535
"635","RAMP2",0.786096582623525,1.57755702367142
"636","HNF4A",0.782679203255929,1.26885115128025
"637","UCP1",0.781068511114825,1.18607102089522
"638","TAC1",0.781012630594697,1.15562167057268
"639","DUSP1",0.780352969349177,1.76455766494421
"640","TRAF1",0.779758126522176,1.81714741846954
"641","ABCA3",0.778828740739862,1.56128838774714
"642","IFNAR2",0.776798579620311,1.10929091812063
"643","PRKCB",0.773802287775632,1.74108955419994
"644","ANGPT1",0.771496059514626,1.30700323257144
"645","GAD2",0.771268270557741,1.35492816026704
"646","CYP2E1",0.771060366381807,1.56798163804961
"647","STC1",0.769567369168407,1.80736572990598
"648","ALDH1A2",0.76840285532421,1.29269117819181
"649","RCAN1",0.764667249203213,1.62265205195084
"650","ETV5",0.764586224363302,1.74601476869678
"651","GSTM4",0.762794657936786,1.42643475566799
"652","MDM2",0.762700146382536,1.06272714225738
"653","PRDX6",0.76055457097775,0.892730379903944
"654","EDNRA",0.758132756299185,1.33445739417852
"655","PPP1R3C",0.756191582929373,1.27965268747102
"656","TSLP",0.754830812691166,0.870208281718027
"657","MEIS2",0.753337908163284,1.66348907442222
"658","RORA",0.748712568728306,1.75343381380461
"659","ULK1",0.748233516642769,0.939870282312911
"660","GADD45G",0.747584572792858,1.42861403625298
"661","PTN",0.745416307601546,1.13085911514957
"662","NGFR",0.743806979157074,1.30060124795729
"663","NEU1",0.742002996162148,1.16085130354758
"664","ANGPTL4",0.741754141097347,1.45317587968667
"665","ACAA1",0.741534255302435,1.51069277464452
"666","TXNIP",0.740670539803325,1.2471870670009
"667","CYP21A2",0.740563534529901,0.954116100217739
"668","WNT4",0.740139301389502,1.33180297050339
"669","ASCL1",0.738535847918869,1.06427833298148
"670","CEL",0.736734007696639,1.37561507398327
"671","BECN1",0.736435962088202,0.969856193174032
"672","MMP9",0.733796501944183,1.26355800665097
"673","SULT4A1",0.732777063596375,1.41999628547766
"674","CD38",0.731306061737652,1.33350151039983
"675","HERPUD1",0.730521922629708,1.65075449182474
"676","CALB2",0.728495422024113,1.5839977671854
"677","ACACB",0.72803052183493,1.36506976831948
"678","PDGFA",0.726675839421991,0.876147765591748
"679","KLF4",0.724795537870969,1.17706198055591
"680","PLK2",0.723502812786114,1.31675281356863
"681","POSTN",0.721187310615257,1.32616530819355
"682","PKP2",0.719990816167921,1.28742230403507
"683","CCR7",0.719653675959234,1.72187384584319
"684","MVP",0.716071540607517,1.19143391826454
"685","INSR",0.71585964614604,1.45664485127328
